0:01:04.944673
Plot pollution (instant)
         3237028 function calls (3162394 primitive calls) in 70.773 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1276/1    0.021    0.000   70.776   70.776 {built-in method builtins.exec}
        1    0.000    0.000   70.776   70.776 devel_remap.py:4(<module>)
        1    0.002    0.002   65.778   65.778 devel_remap.py:262(main)
        1    0.003    0.003   63.969   63.969 devel_remap.py:194(remap)
        2   63.289   31.645   63.951   31.976 devel_remap.py:34(gdf_to_grid)
        1    0.000    0.000    3.854    3.854 pyplot.py:237(show)
        1    0.000    0.000    3.854    3.854 backend_bases.py:188(show)
        1    0.000    0.000    3.728    3.728 backend_tkagg.py:1076(mainloop)
        1    0.000    0.000    3.728    3.728 __init__.py:558(mainloop)
        1    3.647    3.647    3.728    3.728 {method 'mainloop' of '_tkinter.tkapp' objects}
       82    0.001    0.000    1.868    0.023 __init__.py:1(<module>)
  1886/19    0.029    0.000    1.174    0.062 <frozen importlib._bootstrap>:966(_find_and_load)
  1884/19    0.006    0.000    1.173    0.062 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
  1331/17    0.005    0.000    1.170    0.069 <frozen importlib._bootstrap>:651(_load_unlocked)
  1151/17    0.004    0.000    1.169    0.069 <frozen importlib._bootstrap_external>:672(exec_module)
  2192/21    0.001    0.000    1.168    0.056 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
  1037/48    0.002    0.000    1.002    0.021 {built-in method builtins.__import__}
        1    0.000    0.000    0.974    0.974 devel_remap.py:160(load)
        2    0.000    0.000    0.974    0.487 calpuff.py:93(get_spatial_one_instant)
        2    0.000    0.000    0.974    0.487 calpuff.py:241(load_as_gdf)
6004/1255    0.006    0.000    0.942    0.001 <frozen importlib._bootstrap>:997(_handle_fromlist)
        2    0.000    0.000    0.849    0.425 frame.py:6310(apply)
        2    0.000    0.000    0.849    0.424 apply.py:109(get_result)
        2    0.000    0.000    0.847    0.424 apply.py:228(apply_standard)
        2    0.041    0.020    0.845    0.422 {pandas._libs.reduction.reduce}
    11370    0.030    0.000    0.720    0.000 calpuff.py:283(<lambda>)
        9    0.000    0.000    0.530    0.059 __init__.py:2(<module>)
    22801    0.035    0.000    0.521    0.000 generic.py:5053(__getattr__)
       10    0.000    0.000    0.445    0.045 __init__.py:3(<module>)
        1    0.000    0.000    0.427    0.427 devel_remap.py:228(plot)
   170501    0.057    0.000    0.383    0.000 {built-in method builtins.getattr}
